word;definition
Pandas;Un animal noir et blanc qui aime le bambou
Banane;Un fruit jaune courbé
Impenitent;Quelqu'un qui ne regrette jamais
Orchidée;Une fleur exotique et élégante
Pomme;Un fruit croquant souvent rouge ou vert
Orange;Un fruit juteux et rond
Garniture;Ce qui accompagne un plat principal
Mystère;Quelque chose de difficile à comprendre
énigme;Un puzzle ou une question difficile
Sphinx;Une créature mythique avec une énigme célèbre
Labyrinthe;Un réseau complexe de chemins
Fantôme;Un esprit ou une apparition
Château;Une grande maison fortifiée
Dragon;Une créature légendaire qui crache du feu
Sorcière;Une femme avec des pouvoirs magiques
Potion;Un liquide magique avec des effets spéciaux
Trésor;Un ensemble de richesses cachées
Pirate;Un voleur des mers
Épée;Une arme tranchante utilisée dans les combats
Chevalier;Un guerrier noble en armure
